0 2	0 22	4	1
0 2	0 157	-10	1
0 2	0 198	8	1
0 2	0 217	4	1
0 4	0 29	-8	1
0 4	0 62	3	1
0 4	0 96	-6	1
0 4	0 241	-7	1
0 4	0 243	10	1
0 4	0 245	1	1
0 4	0 292	5	1
0 5	0 47	6	1
0 5	0 297	2	1
0 6	0 31	-6	1
0 6	0 43	5	1
0 6	0 161	-6	1
0 6	0 196	9	1
0 6	0 210	7	1
0 7	0 77	9	1
0 7	0 202	-8	1
0 7	0 212	2	1
0 7	0 213	4	1
0 7	0 256	-1	1
0 7	0 283	7	1
0 8	0 210	8	1
0 8	0 246	6	1
0 9	0 12	1	1
0 9	0 33	-2	1
0 9	0 79	1	1
0 9	0 91	7	1
0 9	0 277	-10	1
0 10	0 86	3	1
0 10	0 95	-2	1
0 10	0 196	-1	1
0 11	0 48	-2	1
0 11	0 55	-1	1
0 11	0 116	9	1
0 11	0 121	-3	1
0 11	0 185	-7	1
0 11	0 196	10	1
0 11	0 255	7	1
0 12	0 120	-5	1
0 12	0 166	-10	1
0 12	0 184	-9	1
0 13	0 73	2	1
0 13	0 105	8	1
0 13	0 181	-3	1
0 13	0 267	-2	1
0 14	0 80	9	1
0 14	0 272	6	1
0 14	0 304	-8	1
0 15	0 8	3	1
0 15	0 172	-2	1
0 15	0 185	-3	1
0 15	0 205	-5	1
0 16	0 23	-1	1
0 16	0 131	-10	1
0 16	0 185	1	1
0 17	0 17	-6	1
0 17	0 95	6	1
0 17	0 161	8	1
0 17	0 211	-6	1
0 17	0 292	-9	1
0 18	0 97	7	1
0 18	0 99	-7	1
0 18	0 266	-7	1
0 18	0 296	2	1
0 19	0 36	-4	1
0 19	0 50	-2	1
0 20	0 74	7	1
0 20	0 107	4	1
0 21	0 89	5	1
0 21	0 301	5	1
0 22	0 206	7	1
0 23	0 31	1	1
0 23	0 141	-9	1
0 23	0 232	-10	1
0 24	0 33	4	1
0 24	0 41	1	1
0 24	0 234	-3	1
0 25	0 261	-9	1
0 26	0 35	2	1
0 26	0 94	1	1
0 27	0 39	-5	1
0 27	0 237	-9	1
0 27	0 259	1	1
0 28	0 297	8	1
0 29	0 20	10	1
0 29	0 239	3	1
0 29	0 297	-5	1
0 30	0 122	7	1
0 30	0 235	3	1
0 30	0 249	6	1
0 30	0 272	7	1
0 31	0 13	9	1
0 31	0 54	7	1
0 31	0 88	-2	1
0 31	0 100	-7	1
0 31	0 110	4	1
0 31	0 247	6	1
0 31	0 272	-1	1
0 32	0 35	-4	1
0 32	0 54	-6	1
0 32	0 290	8	1
0 33	0 33	-8	1
0 33	0 240	3	1
0 34	0 64	-3	1
0 34	0 71	7	1
0 35	0 67	4	1
0 35	0 111	6	1
0 35	0 166	5	1
0 36	0 2	3	1
0 36	0 144	5	1
0 36	0 208	4	1
0 37	0 47	7	1
0 37	0 80	2	1
0 37	0 143	-8	1
0 37	0 267	3	1
0 38	0 24	5	1
0 38	0 68	-7	1
0 38	0 121	10	1
0 39	0 60	1	1
0 40	0 154	-2	1
0 41	0 78	-9	1
0 41	0 152	-7	1
0 41	0 261	6	1
0 41	0 268	-7	1
0 42	0 55	-1	1
0 42	0 72	2	1
0 42	0 185	-6	1
0 42	0 204	-5	1
0 42	0 222	7	1
0 42	0 245	6	1
0 43	0 15	-7	1
0 43	0 102	1	1
0 43	0 170	-9	1
0 44	0 6	-8	1
0 44	0 168	9	1
0 44	0 203	1	1
0 44	0 235	-1	1
0 44	0 258	2	1
0 44	0 282	6	1
0 46	0 70	5	1
0 46	0 108	-7	1
0 46	0 169	3	1
0 46	0 247	5	1
0 46	0 255	-7	1
0 47	0 129	5	1
0 47	0 277	5	1
0 48	0 199	6	1
0 48	0 200	-8	1
0 49	0 107	7	1
0 49	0 132	-6	1
0 51	0 76	-8	1
0 51	0 169	-3	1
0 51	0 186	7	1
0 53	0 221	8	1
0 53	0 283	-9	1
0 54	0 293	-3	1
0 55	0 32	-4	1
0 55	0 69	1	1
0 55	0 140	7	1
0 55	0 189	7	1
0 55	0 219	5	1
0 55	0 258	2	1
0 56	0 289	-2	1
0 57	0 20	-6	1
0 57	0 127	9	1
0 57	0 252	-9	1
0 58	0 179	-9	1
0 59	0 81	-9	1
0 59	0 205	-7	1
0 59	0 241	4	1
0 59	0 255	-8	1
0 60	0 117	-2	1
0 61	0 28	10	1
0 61	0 118	-8	1
0 61	0 268	10	1
0 61	0 294	5	1
0 62	0 86	-6	1
0 62	0 195	8	1
0 62	0 281	-10	1
0 64	0 76	2	1
0 64	0 127	8	1
0 64	0 191	6	1
0 65	0 13	13	1
0 65	0 32	5	1
0 65	0 215	8	1
0 65	0 220	-10	1
0 66	0 39	8	1
0 66	0 106	-9	1
0 66	0 158	1	1
0 67	0 70	8	1
0 67	0 108	-8	1
0 67	0 170	2	1
0 67	0 178	1	1
0 67	0 266	-1	1
0 67	0 268	5	1
0 68	0 1	1	1
0 68	0 49	-3	1
0 69	0 28	-9	1
0 69	0 74	-6	1
0 69	0 234	7	1
0 69	0 288	2	1
0 70	0 84	-4	1
0 71	0 72	-8	1
0 72	0 302	-5	1
0 73	0 191	-9	1
0 74	0 32	-1	1
0 74	0 77	-3	1
0 74	0 215	6	1
0 74	0 223	-4	1
0 74	0 258	9	1
0 74	0 263	-9	1
0 75	0 61	-5	1
0 76	0 156	5	1
0 76	0 279	-1	1
0 77	0 172	-7	1
0 77	0 215	-1	1
0 77	0 247	8	1
0 77	0 283	2	1
0 78	0 130	10	1
0 78	0 241	-10	1
0 78	0 273	1	1
0 79	0 176	-6	1
0 79	0 256	9	1
0 80	0 39	-2	1
0 80	0 148	2	1
0 80	0 244	-8	1
0 80	0 251	-5	1
0 81	0 43	6	1
0 81	0 232	-4	1
0 81	0 300	3	1
0 82	0 9	2	1
0 82	0 40	10	1
0 82	0 53	-2	1
0 83	0 28	10	1
0 83	0 75	-1	1
0 83	0 109	1	1
0 83	0 178	8	1
0 83	0 193	2	1
0 83	0 290	-1	1
0 83	0 291	9	1
0 84	0 119	-3	1
0 84	0 147	7	1
0 84	0 222	-6	1
0 85	0 190	-10	1
0 85	0 219	6	1
0 86	0 239	9	1
0 87	0 49	-1	1
0 87	0 59	-6	1
0 87	0 81	-7	1
0 87	0 149	-8	1
0 87	0 191	-8	1
0 87	0 220	3	1
0 87	0 234	10	1
0 88	0 3	-1	1
0 88	0 31	-2	1
0 88	0 128	-4	1
0 88	0 206	3	1
0 88	0 213	8	1
0 88	0 300	-3	1
0 88	0 302	-8	1
0 89	0 57	8	1
0 89	0 248	-6	1
0 90	0 225	7	1
0 91	0 22	9	1
0 91	0 41	-6	1
0 91	0 122	7	1
0 91	0 161	9	1
0 92	0 162	9	1
0 92	0 217	-6	1
0 92	0 222	7	1
0 92	0 261	6	1
0 93	0 13	-4	1
0 93	0 172	9	1
0 93	0 236	9	1
0 93	0 255	3	1
0 93	0 291	9	1
0 94	0 155	-7	1
0 94	0 259	-9	1
0 94	0 302	-5	1
0 95	0 157	2	1
0 95	0 162	-5	1
0 95	0 173	-4	1
0 95	0 194	5	1
0 96	0 125	-7	1
0 96	0 232	-3	1
0 96	0 289	7	1
0 97	0 62	4	1
0 97	0 94	-3	1
0 97	0 111	-8	1
0 98	0 121	6	1
0 98	0 165	10	1
0 98	0 167	6	1
0 98	0 263	-4	1
0 99	0 132	2	1
0 99	0 162	-9	1
0 99	0 242	-4	1
0 100	0 50	-8	1
0 100	0 56	9	1
0 100	0 60	8	1
0 100	0 102	1	1
0 100	0 152	-10	1
0 100	0 251	1	1
0 100	0 265	7	1
0 100	0 303	-6	1
0 101	0 46	-6	1
0 101	0 82	-5	1
0 101	0 104	-8	1
0 101	0 190	-5	1
0 102	0 6	-1	1
0 102	0 228	-3	1
0 102	0 260	10	1
0 102	0 283	-9	1
0 103	0 173	-4	1
0 103	0 213	-9	1
0 104	0 147	7	1
0 104	0 227	8	1
0 104	0 240	4	1
0 104	0 292	6	1
0 105	0 82	5	1
0 105	0 108	2	1
0 105	0 171	-1	1
0 105	0 221	6	1
0 105	0 224	7	1
0 105	0 241	-4	1
0 106	0 30	6	1
0 106	0 91	-8	1
0 107	0 24	2	1
0 107	0 37	5	1
0 107	0 90	10	1
0 107	0 158	9	1
0 107	0 244	1	1
0 107	0 263	-10	1
0 108	0 117	-10	1
0 108	0 228	10	1
0 109	0 30	-7	1
0 109	0 145	10	1
0 109	0 258	8	1
0 110	0 17	-10	1
0 110	0 142	10	1
0 110	0 251	1	1
0 111	0 3	-8	1
0 111	0 127	10	1
0 111	0 217	1	1
0 112	0 285	4	1
0 113	0 164	1	1
0 114	0 17	10	1
0 114	0 66	3	1
0 114	0 152	-9	1
0 114	0 220	-5	1
0 114	0 222	6	1
0 114	0 244	-2	1
0 115	0 225	-5	1
0 115	0 282	6	1
0 115	0 300	1	1
